"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 28 17:28:41 CET 2020","Fri Feb 28 17:28:45 CET 2020","4340","","To test the add & subtract feature of mobile calculator app Multiply two numbers","","To test the add & subtract feature of mobile calculator app Multiply two numbers","I multiply ""3"" with ""5""","I multiply ""3"" with ""5""",""
"failed","Fri Feb 28 17:35:56 CET 2020","Fri Feb 28 17:35:57 CET 2020","1376","","To test the Electre application Electre application","","To test the Electre application Electre application","the result ""LIVRES PRÈS DE VOUS"" should be displayed","the result ""LIVRES PRÈS DE VOUS"" should be displayed",""
"broken","Fri Feb 28 17:28:45 CET 2020","Fri Feb 28 17:28:46 CET 2020","690","","To test the add & subtract feature of mobile calculator app Multiply two numbers","","To test the add & subtract feature of mobile calculator app Multiply two numbers","the result ""15"" should be displayed","the result ""15"" should be displayed",""
"passed","Tue Mar 03 16:17:55 CET 2020","Tue Mar 03 16:17:59 CET 2020","3685","","To test the add & subtract feature of mobile calculator app Divide two numbers","","To test the add & subtract feature of mobile calculator app Divide two numbers","I divide ""9"" with ""3""","I divide ""9"" with ""3""",""
"passed","Tue Mar 03 16:17:51 CET 2020","Tue Mar 03 16:17:55 CET 2020","3707","","To test the add & subtract feature of mobile calculator app Multiply two numbers","","To test the add & subtract feature of mobile calculator app Multiply two numbers","I multiply ""3"" with ""5""","I multiply ""3"" with ""5""",""
"passed","Tue Mar 03 16:17:48 CET 2020","Tue Mar 03 16:17:51 CET 2020","3632","","To test the add & subtract feature of mobile calculator app Subtract two numbers","","To test the add & subtract feature of mobile calculator app Subtract two numbers","I subtract ""7"" from ""5""","I subtract ""7"" from ""5""",""
"broken","Fri Feb 28 17:28:35 CET 2020","Fri Feb 28 17:28:35 CET 2020","145","","To test the add & subtract feature of mobile calculator app Add two numbers","","To test the add & subtract feature of mobile calculator app Add two numbers","I am on my mobile calculator app","I am on my mobile calculator app",""
"skipped","Fri Feb 28 17:28:35 CET 2020","Fri Feb 28 17:28:35 CET 2020","0","","To test the add & subtract feature of mobile calculator app Add two numbers","","To test the add & subtract feature of mobile calculator app Add two numbers","the result ""8"" should be displayed","the result ""8"" should be displayed",""
"passed","Tue Mar 03 16:17:51 CET 2020","Tue Mar 03 16:17:51 CET 2020","83","","To test the add & subtract feature of mobile calculator app Subtract two numbers","","To test the add & subtract feature of mobile calculator app Subtract two numbers","the result ""2"" should be displayed","the result ""2"" should be displayed",""
"broken","Fri Feb 28 17:28:57 CET 2020","Fri Feb 28 17:28:58 CET 2020","376","","To test the add & subtract feature of mobile calculator app Clear the text","","To test the add & subtract feature of mobile calculator app Clear the text","the result should be cleared","the result should be cleared",""
"passed","Tue Mar 03 16:17:47 CET 2020","Tue Mar 03 16:17:48 CET 2020","98","","To test the add & subtract feature of mobile calculator app Add two numbers","","To test the add & subtract feature of mobile calculator app Add two numbers","the result ""8"" should be displayed","the result ""8"" should be displayed",""
"failed","Tue Mar 03 16:18:04 CET 2020","Tue Mar 03 16:18:04 CET 2020","118","","To test the add & subtract feature of mobile calculator app Clear the text","","To test the add & subtract feature of mobile calculator app Clear the text","the result should be cleared","the result should be cleared",""
"passed","Fri Feb 28 17:35:35 CET 2020","Fri Feb 28 17:35:40 CET 2020","5797","","To test the Electre application Electre application","","To test the Electre application Electre application","I am on my app","I am on my app",""
"passed","Tue Mar 03 16:17:59 CET 2020","Tue Mar 03 16:17:59 CET 2020","61","","To test the add & subtract feature of mobile calculator app Divide two numbers","","To test the add & subtract feature of mobile calculator app Divide two numbers","the result ""3"" should be displayed","the result ""3"" should be displayed",""
"passed","Fri Feb 28 17:28:55 CET 2020","Fri Feb 28 17:28:57 CET 2020","2226","","To test the add & subtract feature of mobile calculator app Clear the text","","To test the add & subtract feature of mobile calculator app Clear the text","I click on AC button","I click on AC button",""
"passed","Tue Mar 03 16:17:59 CET 2020","Tue Mar 03 16:18:03 CET 2020","3821","","To test the add & subtract feature of mobile calculator app Clear the text","","To test the add & subtract feature of mobile calculator app Clear the text","I add ""8"" and ""7""","I add ""8"" and ""7""",""
"passed","Tue Mar 03 16:17:44 CET 2020","Tue Mar 03 16:17:44 CET 2020","71","","To test the add & subtract feature of mobile calculator app Add two numbers","","To test the add & subtract feature of mobile calculator app Add two numbers","I am on my mobile calculator app","I am on my mobile calculator app",""
"passed","Tue Mar 03 16:17:55 CET 2020","Tue Mar 03 16:17:55 CET 2020","82","","To test the add & subtract feature of mobile calculator app Multiply two numbers","","To test the add & subtract feature of mobile calculator app Multiply two numbers","the result ""15"" should be displayed","the result ""15"" should be displayed",""
"passed","Fri Feb 28 17:28:35 CET 2020","Fri Feb 28 17:28:41 CET 2020","5786","","To test the add & subtract feature of mobile calculator app Subtract two numbers","","To test the add & subtract feature of mobile calculator app Subtract two numbers","I subtract ""7"" from ""5""","I subtract ""7"" from ""5""",""
"broken","Fri Feb 28 17:28:41 CET 2020","Fri Feb 28 17:28:41 CET 2020","38","","To test the add & subtract feature of mobile calculator app Subtract two numbers","","To test the add & subtract feature of mobile calculator app Subtract two numbers","the result ""2"" should be displayed","the result ""2"" should be displayed",""
"passed","Fri Feb 28 17:35:40 CET 2020","Fri Feb 28 17:35:43 CET 2020","2095","","To test the Electre application Electre application","","To test the Electre application Electre application","I click on menu button","I click on menu button",""
"broken","Fri Feb 28 17:28:51 CET 2020","Fri Feb 28 17:28:51 CET 2020","38","","To test the add & subtract feature of mobile calculator app Divide two numbers","","To test the add & subtract feature of mobile calculator app Divide two numbers","the result ""3"" should be displayed","the result ""3"" should be displayed",""
"passed","Fri Feb 28 17:28:51 CET 2020","Fri Feb 28 17:28:55 CET 2020","4144","","To test the add & subtract feature of mobile calculator app Clear the text","","To test the add & subtract feature of mobile calculator app Clear the text","I add ""8"" and ""7""","I add ""8"" and ""7""",""
"passed","Tue Mar 03 16:18:03 CET 2020","Tue Mar 03 16:18:04 CET 2020","1362","","To test the add & subtract feature of mobile calculator app Clear the text","","To test the add & subtract feature of mobile calculator app Clear the text","I click on AC button","I click on AC button",""
"passed","Tue Mar 03 16:17:44 CET 2020","Tue Mar 03 16:17:47 CET 2020","3478","","To test the add & subtract feature of mobile calculator app Add two numbers","","To test the add & subtract feature of mobile calculator app Add two numbers","I add ""3"" and ""5""","I add ""3"" and ""5""",""
"skipped","Fri Feb 28 17:28:35 CET 2020","Fri Feb 28 17:28:35 CET 2020","0","","To test the add & subtract feature of mobile calculator app Add two numbers","","To test the add & subtract feature of mobile calculator app Add two numbers","I add ""3"" and ""5""","I add ""3"" and ""5""",""
"passed","Fri Feb 28 17:28:46 CET 2020","Fri Feb 28 17:28:51 CET 2020","5109","","To test the add & subtract feature of mobile calculator app Divide two numbers","","To test the add & subtract feature of mobile calculator app Divide two numbers","I divide ""9"" with ""3""","I divide ""9"" with ""3""",""
"passed","Fri Feb 28 17:35:43 CET 2020","Fri Feb 28 17:35:56 CET 2020","13394","","To test the Electre application Electre application","","To test the Electre application Electre application","I click on Ma selection button","I click on Ma selection button",""
